,last_score_mean,last_worst_score,last_best_score,last_score_median
5,4782.644444444445,3967.8333333333335,5310.233333333334,5069.866666666667
10,4386.433333333333,4386.433333333333,4386.433333333333,4386.433333333333
15,5069.866666666667,5069.866666666667,5069.866666666667,5069.866666666667
20,5215.466666666666,5215.466666666666,5215.466666666666,5215.466666666666
25,5310.233333333334,5310.233333333334,5310.233333333334,5310.233333333334
30,5266.133333333333,5266.133333333333,5266.133333333333,5266.133333333333
